vehicle_type,category,subcategory,symptom,possible_fault,severity,user_fixable,tools_needed,beginner_steps,mechanic_advice,safety_warning
Car,EV & Hybrid,High Voltage Battery,Reduced driving range and slow acceleration,Battery degradation or cell imbalance,high,no,None,"Check the dashboard display for the current battery health percentage or warning turtle icon. Ensure the car is not in a restricted Eco mode.","A certified EV technician must perform a battery health diagnostic and cell balancing.","NEVER touch orange high-voltage cables. They carry lethal amounts of electricity."
Car,EV & Hybrid,Charging Port,Charger won't lock into the car port,Debris in port or faulty locking pin,medium,partially,Flashlight,"Shine a light into the charging port to check for leaves, dirt, or ice. Gently blow it out if dirty.","If the port is clean but won't lock, a mechanic must replace the charge port actuator.","Do not stick metal objects into the charging port to clean it."
Car,EV & Hybrid,Regenerative Braking,Car doesn't slow down when lifting off the accelerator,Regen system disabled or fully charged battery,low,no,None,"Check if the battery is at 100% (regen turns off when full). Check the infotainment screen to ensure regen braking wasn't accidentally turned off in settings.","If the battery is low and settings are correct, a mechanic must scan the brake control module.","Rely on your physical brake pedal until the system is checked."
Car,Sensors & ADAS,Blind Spot Monitor,Blind spot light stays on constantly,Dirty sensor or damaged bumper,low,yes,Microfiber cloth,"Locate the blind spot sensors (usually behind the rear bumper corners) and wipe the bumper clean of mud, snow, or heavy dirt.","If cleaning doesn't work, the sensor may be internally damaged or misaligned and requires professional calibration.","Do not rely on broken ADAS systems for safe lane changes."
Car,Sensors & ADAS,Backup Camera,Backup camera shows a black or blurry screen,Dirty lens or disconnected wire,low,yes,Microfiber cloth,"Walk to the rear of the car and wipe the small camera lens above the license plate.","If the lens is clean but the screen is black, a mechanic needs to check the wiring harness in the trunk.","Always turn around and use your mirrors when reversing if the camera is down."
Car,Infotainment,Touchscreen,Radio and touchscreen freeze or go blank,Software glitch or blown interior fuse,low,yes,None,"Hold down the power button on the radio for 10 seconds to force a system reboot (works on most modern cars).","If rebooting fails, a mechanic may need to flash a software update or replace the head unit.","Do not try to fix screen issues while driving. Pull over safely."
Car,Engine,Serpentine Belt,High-pitched squeal when starting the car,Worn or loose serpentine belt,medium,yes,Flashlight,"Open the hood and visually inspect the large rubber belt at the front of the engine. Look for cracks, fraying, or a shiny glazed surface.","If the belt is cracked or loose, a mechanic should replace it and check the tensioner pulley.","Keep hands, loose clothing, and hair far away from belts while the engine is running."
Car,Transmission,Manual Clutch,High engine RPMs but car accelerates very slowly,Worn clutch disc (Clutch slipping),high,no,None,"Drive at a slow speed in a high gear and press the gas. If the engine revs up but the car doesn't speed up, the clutch is slipping.","A mechanic must separate the engine and transmission to install a new clutch kit.","A slipping clutch will eventually strand you; drive it straight to a shop."
Car,Steering,Electronic Power Steering (EPS),Steering wheel suddenly becomes very heavy,Blown EPS fuse or faulty steering motor,high,partially,None,"Check the fuse box for the EPS (Electronic Power Steering) fuse to see if it is blown. Restart the car to see if the system resets.","If the fuse is good, the steering rack or electric motor requires professional replacement.","It is incredibly difficult to steer a car safely without power assist at low speeds."
Bike,Fuel System,Carburetor,Bike smells like petrol and drips fuel from the bottom,Stuck carburetor float,high,partially,None,"Look underneath the engine where the carburetor is located. Tap the side of the carburetor gently with the plastic handle of a screwdriver to unstick the float.","If it continues leaking, a mechanic must rebuild the carburetor and replace the rubber seals.","Leaking petrol is a severe fire hazard. Do not start the bike or park near open flames."
Bike,Suspension,Front Forks,Oil leaking down the front suspension tubes,Blown fork seals,medium,no,Paper towel,"Wipe the silver tubes of the front forks clean. Push down on the handlebars a few times. If a ring of oil appears on the tube, the seals are blown.","A mechanic needs to dismantle the front forks to replace the rubber seals and fork oil.","Leaking fork oil can drip onto your front brake pads, causing complete brake failure."
Bike,Cooling System,Radiator (Liquid Cooled),White smoke billowing from the engine area,Overheating or coolant leak,high,no,None,"Turn off the bike immediately. Look for green or pink fluid leaking onto the engine or ground.","A mechanic must pressure test the system to find the burst hose or broken radiator.","Never open a motorcycle radiator cap when the engine is hot; boiling coolant will spray out."
Scooter,Transmission,CVT Belt,Scooter engine revs loudly but rear wheel doesn't turn,Snapped CVT drive belt,high,no,None,"Put the scooter on its center stand. If you twist the throttle and hear the engine but feel no forward pull, the internal rubber belt has snapped.","A mechanic must remove the transmission cover and install a new drive belt and rollers.","Do not keep revving the engine if the belt is broken, as it can damage the pulleys."
Scooter,Electrical,Spark Plug Cap,Scooter stutters and dies when riding through rain,Water entering the spark plug boot,medium,yes,Dry cloth,"Wait for the engine to cool. Pull the rubber cap off the spark plug and dry the inside of it thoroughly. Push it firmly back onto the plug.","If it happens every time it rains, a mechanic needs to install a new, waterproof spark plug cap.","Ensure the ignition is turned off before touching the spark plug wire."
